,region,category,parameter,mode,powertrain,year,unit,value
2,Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0
5,Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0
9,Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0
10,Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0
14,Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0
17,Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0
21,Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0
22,Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0
26,Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0
29,Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0
33,Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0
34,Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0
40,Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0
43,Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0
49,Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0
50,Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0
55,Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0
58,Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0
63,Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0
64,Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0
71,Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0
73,Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44.0
74,Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15.0
76,Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0
80,Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0
87,Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000.0
91,Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000.0
93,Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6.0
111,Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650.0
112,Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700.0
114,Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6.0
127,Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4.0
128,Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100.0
130,Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700.0
131,Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800.0
133,Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0
146,Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2.0
147,Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700.0
149,Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400.0
150,Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800.0
152,Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0
153,Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7.0
166,Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,19.0
168,Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300.0
169,Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200.0
170,Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600.0
171,Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000.0
173,Austria,Historical,EV sales,Cars,FCEV,2020,Vehicles,14.0
186,Austria,Historical,EV sales,Cars,FCEV,2021,Vehicles,14.0
188,Austria,Historical,EV sales,Cars,BEV,2021,Vehicles,33000.0
189,Austria,Historical,EV sales,Cars,PHEV,2021,Vehicles,15000.0
190,Austria,Historical,EV sales,Cars,PHEV,2022,Vehicles,13000.0
191,Austria,Historical,EV sales,Cars,BEV,2022,Vehicles,34000.0
193,Austria,Historical,EV sales,Cars,FCEV,2022,Vehicles,14.0
206,Austria,Historical,EV sales,Cars,FCEV,2023,Vehicles,9.0
208,Austria,Historical,EV sales,Cars,BEV,2023,Vehicles,48000.0
209,Austria,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000.0
211,Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7.0
213,Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,48.0
215,Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8.0
232,Belgium,Historical,EV sales,Trucks,BEV,2011,Vehicles,1.0
236,Belgium,Historical,EV sales,Cars,PHEV,2011,Vehicles,16.0
238,Belgium,Historical,EV sales,Cars,BEV,2011,Vehicles,280.0
240,Belgium,Historical,EV sales,Vans,BEV,2011,Vehicles,25.0
243,Belgium,Historical,EV sales,Vans,BEV,2012,Vehicles,260.0
245,Belgium,Historical,EV sales,Cars,BEV,2012,Vehicles,570.0
247,Belgium,Historical,EV sales,Cars,PHEV,2012,Vehicles,340.0
268,Belgium,Historical,EV sales,Cars,PHEV,2013,Vehicles,60.0
270,Belgium,Historical,EV sales,Cars,BEV,2013,Vehicles,500.0
272,Belgium,Historical,EV sales,Vans,BEV,2013,Vehicles,110.0
275,Belgium,Historical,EV sales,Vans,BEV,2014,Vehicles,99.0
278,Belgium,Historical,EV sales,Cars,BEV,2014,Vehicles,1300.0
